SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
270.5,273.11,270.42,272.59,70123549,281735,271.924718,270.5,273.11,270.42,272.59,70123549,281735,271.924718,270.5,273.11,270.42,272.59,70123549,281735,271.924718,270.5,273.11,270.42,272.59,70123549,281735,271.924718,270.5,273.11,270.42,272.59,70123549,281735,271.924718
272.15,272.49,270.255,270.81,95069524,342558,271.312962,272.15,272.49,270.255,270.81,95069524,342558,271.312962,272.15,272.49,270.255,270.81,95069524,342558,271.312962,272.15,272.49,270.255,270.81,95069524,342558,271.312962,272.15,272.49,270.255,270.81,95069524,342558,271.312962
272.41,273.94,272.33,273.61,72348029,275361,273.049284,272.41,273.94,272.33,273.61,72348029,275361,273.049284,272.41,273.94,272.33,273.61,72348029,275361,273.049284,272.41,273.94,272.33,273.61,72348029,275361,273.049284,272.41,273.94,272.33,273.61,72348029,275361,273.049284
274.53,275.185,274.26,274.89,46267973,199753,274.772689,274.53,275.185,274.26,274.89,46267973,199753,274.772689,274.53,275.185,274.26,274.89,46267973,199753,274.772689,274.53,275.185,274.26,274.89,46267973,199753,274.772689,274.53,275.185,274.26,274.89,46267973,199753,274.772689
275.04,275.53,274.18,275.19,51793423,205397,275.02578,275.04,275.53,274.18,275.19,51793423,205397,275.02578,275.04,275.53,274.18,275.19,51793423,205397,275.02578,275.04,275.53,274.18,275.19,51793423,205397,275.02578,275.04,275.53,274.18,275.19,51793423,205397,275.02578
275.79,277.52,275.09,277.43,62832215,253538,276.486138,275.79,277.52,275.09,277.43,62832215,253538,276.486138,275.79,277.52,275.09,277.43,62832215,253538,276.486138,275.79,277.52,275.09,277.43,62832215,253538,276.486138,275.79,277.52,275.09,277.43,62832215,253538,276.486138
277.95,278.28,276.34,277.37,73717555,299286,277.306263,277.95,278.28,276.34,277.37,73717555,299286,277.306263,277.95,278.28,276.34,277.37,73717555,299286,277.306263,277.95,278.28,276.34,277.37,73717555,299286,277.306263,277.95,278.28,276.34,277.37,73717555,299286,277.306263
276.85,278.25,276.66,278.22,72150269,238238,277.711297,276.85,278.25,276.66,278.22,72150269,238238,277.711297,276.85,278.25,276.66,278.22,72150269,238238,277.711297,276.85,278.25,276.66,278.22,72150269,238238,277.711297,276.85,278.25,276.66,278.22,72150269,238238,277.711297
278.44,279.37,278.31,278.58,58894807,211393,278.748137,278.44,279.37,278.31,278.58,58894807,211393,278.748137,278.44,279.37,278.31,278.58,58894807,211393,278.748137,278.44,279.37,278.31,278.58,58894807,211393,278.748137,278.44,279.37,278.31,278.58,58894807,211393,278.748137
279.03,279.33,278.19,278.97,72984124,211612,278.826095,279.03,279.33,278.19,278.97,72984124,211612,278.826095,279.03,279.33,278.19,278.97,72984124,211612,278.826095,279.03,279.33,278.19,278.97,72984124,211612,278.826095,279.03,279.33,278.19,278.97,72984124,211612,278.826095
279.19,279.48,277.8,278.01,79378117,275306,278.685416,279.19,279.48,277.8,278.01,79378117,275306,278.685416,279.19,279.48,277.8,278.01,79378117,275306,278.685416,279.19,279.48,277.8,278.01,79378117,275306,278.685416,279.19,279.48,277.8,278.01,79378117,275306,278.685416
279.01,279.33,278.0599,278.68,77667620,233427,278.670576,279.01,279.33,278.0599,278.68,77667620,233427,278.670576,279.01,279.33,278.0599,278.68,77667620,233427,278.670576,279.01,279.33,278.0599,278.68,77667620,233427,278.670576,279.01,279.33,278.0599,278.68,77667620,233427,278.670576
276.61,277.51,275.35,277.03,120673012,305807,276.757012,276.61,277.51,275.35,277.03,120673012,305807,276.757012,276.61,277.51,275.35,277.03,120673012,305807,276.757012,276.61,277.51,275.35,277.03,120673012,305807,276.757012,276.61,277.51,275.35,277.03,120673012,305807,276.757012
275.49,276.7,274.95,276.59,53163695,221103,276.151288,275.49,276.7,274.95,276.59,53163695,221103,276.151288,275.49,276.7,274.95,276.59,53163695,221103,276.151288,275.49,276.7,274.95,276.59,53163695,221103,276.151288,275.49,276.7,274.95,276.59,53163695,221103,276.151288
274.0,275.75,273.53,275.48,97669710,337433,274.931757,274.0,275.75,273.53,275.48,97669710,337433,274.931757,274.0,275.75,273.53,275.48,97669710,337433,274.931757,274.0,275.75,273.53,275.48,97669710,337433,274.931757,274.0,275.75,273.53,275.48,97669710,337433,274.931757
276.26,276.72,275.59,276.01,54051558,212283,276.06573,276.26,276.72,275.59,276.01,54051558,212283,276.06573,276.26,276.72,275.59,276.01,54051558,212283,276.06573,276.26,276.72,275.59,276.01,54051558,212283,276.06573,276.26,276.72,275.59,276.01,54051558,212283,276.06573
275.96,275.98,273.68,274.24,75659252,289344,274.618337,275.96,275.98,273.68,274.24,75659252,289344,274.618337,275.96,275.98,273.68,274.24,75659252,289344,274.618337,275.96,275.98,273.68,274.24,75659252,289344,274.618337,275.96,275.98,273.68,274.24,75659252,289344,274.618337
275.66,275.785,274.49,274.76,58532014,231536,275.09994,275.66,275.785,274.49,274.76,58532014,231536,275.09994,275.66,275.785,274.49,274.76,58532014,231536,275.09994,275.66,275.785,274.49,274.76,58532014,231536,275.09994,275.66,275.785,274.49,274.76,58532014,231536,275.09994
273.44,273.6162,269.1,271.07,138828162,515156,271.193515,273.44,273.6162,269.1,271.07,138828162,515156,271.193515,273.44,273.6162,269.1,271.07,138828162,515156,271.193515,273.44,273.6162,269.1,271.07,138828162,515156,271.193515,273.44,273.6162,269.1,271.07,138828162,515156,271.193515
271.64,272.56,270.79,271.58,68821261,304136,271.733259,271.64,272.56,270.79,271.58,68821261,304136,271.733259,271.64,272.56,270.79,271.58,68821261,304136,271.733259,271.64,272.56,270.79,271.58,68821261,304136,271.733259,271.64,272.56,270.79,271.58,68821261,304136,271.733259
