-,-,-,-,-,-
Symbol,Name,Value,Change,% Change,Shares
AAPL,Apple Inc.,113.85,-3.49,-0.0297, 1
MSFT,Microsoft Corporation,210.11,-0.28,-0.0013, 6
AMD,Advanced Micro Devices Inc.,85.31,0.67,0.0079, 14
NVDA,NVIDIA Corporation,225.60,2.09,0.0040, 3
